loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
1596230855.091041,36,0,103187.2835517917,-1.356665874074773,1.309465259779288,1.046875785363833,-1.958754420280457,2.153703212738037,-3.167333126068115,-0.4167409539222717,-1.253623843193054,0.1873970627784729,2,0.6396681344376971,0.1618550360932907,-0.1940892735058826,0.7259179242946201,0.4832924008369446,-0.8658644556999207,-0.1292552500963211,2.573936462402344,-49.78773498535156,8.67230224609375,2
1596230855.120991,37,0,103187.3136507917,-1.233722846779864,1.288674862354438,0.9382966555539338,-3.87343168258667,4.217718601226807,-3.052379369735718,-1.340033531188965,-1.087600946426392,0.7756630778312683,2,0.6047844719397861,0.2279204937370273,-0.1909951724970406,0.7387885988413797,0.5677919387817383,-0.8065522909164429,-0.1645759791135788,7.870895385742188,-49.26851654052734,4.23065185546875,2
1596230855.151232,38,0,103187.3437487917,-1.096613635927644,1.344813789821096,0.8036171565026342,-4.143799781799316,6.211198329925537,-3.903794288635254,-0.8841545581817627,-0.01785039901733398,0.8375627398490906,2,0.5599130161377914,0.3297502167903115,-0.1674179882916685,0.7414399216227461,0.6764589548110962,-0.719871461391449,-0.155524417757988,10.91750335693359,-48.68321990966797,1.616668701171875,2
1596230855.181103,39,0,103187.3738477917,-0.9512493409182805,1.455762631508205,0.6625518571343529,-4.555214881896973,7.131942749023438,-4.043954849243164,-0.02793043851852417,0.3151929974555969,0.8163937330245972,2,0.5039432913397645,0.4480997558463414,-0.1309015478947764,0.7267134186405098,0.7832141518592834,-0.6151307821273804,-0.09049553424119949,18.34617614746094,-45.81836700439453,-1.59197998046875,2
1596230855.211141,40,0,103187.4039457917,-0.7883494028811249,1.556857375572072,0.5407735606202549,-4.801250457763672,5.174980163574219,-3.246411085128784,0.5630239248275757,0.3171655535697937,0.3688633441925049,2,0.4354636063283107,0.5517215204669468,-0.09034499331803358,0.7055582517666845,0.8572272658348083,-0.5147993564605713,-0.01194962300360203,21.78374481201172,-43.93243408203125,-2.61370849609375,2
1596230855.241343,41,0,103187.4340447917,-0.6341066694748729,1.568673567326795,0.4732374231440025,-4.080047130584717,0.7547197937965393,-1.137686371803284,0.7986704707145691,0.3609169721603394,-0.1106346845626831,2,0.3717463082326794,0.6007161990588454,-0.05720912956638108,0.7054585088452385,0.8900952935218811,-0.4557702839374542,-0.001889460952952504,26.8626708984375,-40.06665802001953,-5.400848388671875,2
1596230855.271559,42,0,103187.4641437917,-0.5002621325391876,1.502939192216877,0.4641528523809731,-4.148539543151855,-0.9127116799354553,0.65273517370224,0.07491487264633179,0.2817472815513611,0.2810070514678955,2,0.3272891995265593,0.6021346206765693,-0.02388189856191408,0.7278359297681187,0.8921430110931396,-0.4476654529571533,-0.06063135713338852,27.40681457519531,-38.98987579345703,-8.586700439453125,2
1596230855.302123,43,0,103187.4942417917,-0.3469891531923389,1.393243063310868,0.4821950376637922,-4.706402778625488,-1.421656012535095,1.549562811851501,-0.3922192454338074,0.3423087596893311,0.4195892810821533,2,0.287947630680666,0.5821035480991896,0.02232458012678815,0.7600941413088749,0.8720503449440002,-0.4637250602245331,-0.1564832478761673,25.75727844238281,-37.48780822753906,-16.01852416992188,2
1596230855.331549,44,0,103187.5243407917,-0.1815685539000252,1.290879996917184,0.5086141264817272,-4.199258804321289,0.3933099508285522,2.474805116653442,-0.2948756814002991,0.5672866106033325,0.360724925994873,2,0.2529215153398683,0.5615857251193218,0.08061878883660847,0.7836789654970771,0.8394253849983215,-0.4869672656059265,-0.2413043677806854,24.05464935302734,-36.67193603515625,-19.8896484375,2
1596230855.361743,45,0,103187.5544387917,-0.0287967353787834,1.271071278485112,0.5605628568119945,-3.215272426605225,3.317659854888916,3.225936889648438,-0.2778573632240295,0.595690131187439,0.1911749243736267,2,0.2308060474907811,0.567180333818139,0.1530560777683372,0.7756343613910148,0.8091965913772583,-0.5316630005836487,-0.2500700652599335,21.21706390380859,-35.58005523681641,-24.34341430664062,2
1596230855.391793,46,0,103187.5845377917,0.1045901314093196,1.316723591682387,0.624951252790658,-2.751590251922607,4.17091703414917,2.718789100646973,-0.3393889665603638,0.01656413078308105,0.0830460786819458,2,0.212399703224303,0.5941092695930732,0.2271704913725463,0.7418314288289426,0.7849559783935547,-0.5850577354431152,-0.2038410902023315,20.8134765625,-35.32865142822266,-25.07388305664062,2
1596230855.42201,47,0,103187.6146357917,0.2175381032962302,1.365117474890261,0.6711292587115215,-2.495384931564331,3.769037008285522,1.829901576042175,-0.2820525169372559,-0.465617299079895,0.431254506111145,2,0.1893608088129652,0.619817330535316,0.2860261002189138,0.7058030175775238,0.7666136026382446,-0.621870756149292,-0.1599379181861877,21.48690795898438,-34.83567047119141,-25.04586791992188,2
1596230855.451989,48,0,103187.6447347917,0.3405236639078701,1.411155054805228,0.7192385707704776,-3.130982160568237,4.63300609588623,2.647517204284668,-0.09804677963256836,-0.002859711647033691,0.7634746432304382,2,0.1611704907402002,0.6436063745444576,0.3456430424704454,0.6635703041490991,0.7427412271499634,-0.6588120460510254,-0.1195898130536079,22.03277587890625,-34.76854705810547,-25.0594482421875,2
1596230855.482204,49,0,103187.6748327917,0.4761300828932553,1.484438342173152,0.801048849481816,-2.751810789108276,5.959443092346191,3.443080186843872,-0.326779842376709,0.06037312746047974,0.590009331703186,2,0.1324582492108108,0.6726377782136845,0.4161508842449241,0.5973536010129682,0.6933599710464478,-0.7180864214897156,-0.06002646312117577,23.33363342285156,-34.03582763671875,-23.9840087890625,2
1596230855.512076,50,0,103187.7049317917,0.625371457617971,1.51745192052036,0.8978414888159412,-2.171539306640625,1.805939316749573,2.659175395965576,-0.3224532604217529,0.1959952712059021,-0.4614896774291992,2,0.1090142923933529,0.686657854855027,0.4852291357587282,0.5302540441715242,0.622412383556366,-0.7819833159446716,-0.03323375061154366,23.73314666748047,-34.5703125,-22.99142456054688,2
