loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1595774613.058089,1,0,460276.4124977917,0.4407501220703125,-0.814697265625,-0.32666015625,460276.3836467917,0.1135891452431679,0.2346583157777786,-0.06559924781322479
1595774613.086486,2,0,460276.4425977917,0.4113616943359375,-0.84869384765625,-0.5276031494140625,460276.4137477917,0.1800722926855087,0.3210685551166534,-0.06731512397527695
1595774613.116647,3,0,460276.4726987917,0.4415740966796875,-0.868438720703125,-0.4448699951171875,460276.4438477917,0.03535213321447372,-0.2539715468883514,-0.1458847671747208
1595774613.146691,4,0,460276.5027987917,0.377197265625,-0.818939208984375,-0.32159423828125,460276.4739487917,0.02288108132779598,-0.2708722352981567,-0.08225678652524948
1595774613.176869,5,0,460276.5328997917,0.4205169677734375,-0.8909454345703125,-0.2412872314453125,460276.5040487917,0.02433996088802814,-0.2585287690162659,-0.04212428256869316
1595774613.207709,6,0,460276.5629997917,0.4320526123046875,-0.8592071533203125,-0.3104248046875,460276.5341497917,-0.03097203001379967,-0.09305351227521896,0.07808441668748856
1595774613.237071,7,0,460276.5930997917,0.4718780517578125,-0.7657318115234375,-0.349639892578125,460276.5642497917,0.05989795550704002,-0.1536718457937241,0.1067144647240639
1595774613.26737,8,0,460276.62320125,0.53363037109375,-0.823883056640625,-0.361968994140625,460276.5943497917,0.1336765736341476,-0.2349318116903305,0.001207477180287242
1595774613.297281,9,0,460276.65330125,0.4863433837890625,-0.8512420654296875,-0.4694061279296875,460276.62445125,-0.06547701358795166,-0.2108576446771622,-0.3429110050201416
1595774613.327803,10,0,460276.6834022501,0.273773193359375,-0.8736419677734375,-0.2162933349609375,460276.65455125,0.628888726234436,-1.076593995094299,-0.3914457857608795
1595774613.358928,11,0,460276.71350225,0.2604217529296875,-0.792816162109375,-0.466796875,460276.71475225,0.2499611079692841,0.5442694425582886,-0.08913866430521011
1595774613.387478,12,0,460276.74360325,0.2750091552734375,-0.8706207275390625,-0.297027587890625,,,,
1595774613.417656,13,0,460276.77370325,0.2719573974609375,-0.887420654296875,-0.358367919921875,460276.74485325,0.2699420154094696,0.1143268421292305,-0.2348183691501617
1595774613.449154,14,0,460276.80380425,0.2076568603515625,-0.8668060302734375,-0.2783203125,460276.77495325,0.4387216866016388,0.08489678055047989,-0.2376794070005417
1595774613.477968,15,0,460276.83390425,0.2271881103515625,-0.805877685546875,-0.4829864501953125,460276.8050542501,0.3026024699211121,0.4023972451686859,-0.373625785112381
1595774613.507874,16,0,460276.86400525,0.297637939453125,-0.8037567138671875,-0.3906402587890625,460276.83515425,0.4503562450408936,0.2683606147766113,-0.6287374496459961
1595774613.538073,17,0,460276.89410525,0.502349853515625,-0.7742462158203125,-0.30145263671875,460276.86525525,0.6413198113441467,0.5911163091659546,-0.5309568047523499
1595774613.568031,18,0,460276.9242062501,0.50592041015625,-0.8678131103515625,-0.096923828125,460276.89535525,0.6174725294113159,0.6325824856758118,-0.4351325631141663
1595774613.598283,19,0,460276.95430625,0.558380126953125,-0.8782958984375,0.22802734375,460276.92545625,0.4093033671379089,0.5853955745697021,-0.4352894127368927
1595774613.628277,20,0,460276.98440625,0.610382080078125,-0.8924407958984375,-0.0293121337890625,460276.95555625,0.521235466003418,1.16821026802063,-0.1878689676523209
1595774613.659036,21,0,460277.01450725,0.6254425048828125,-0.845489501953125,-0.02618408203125,460276.98565625,0.09968957304954529,0.8019068241119385,-0.3517503142356873
1595774613.688456,22,0,460277.04460725,0.780059814453125,-0.744842529296875,-0.1133880615234375,460277.01575725,0.1693365573883057,0.5970439314842224,-0.3816914260387421
1595774613.718643,23,0,460277.07470825,0.510528564453125,-0.892364501953125,-0.0239715576171875,460277.0458572501,0.1272181421518326,0.723258912563324,-0.2613935172557831
1595774613.748864,24,0,460277.10480825,0.4963836669921875,-0.7989959716796875,0.085906982421875,460277.07595825,0.1294416189193726,0.402357816696167,-0.06343383342027664
