loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
1596229853.50769,24,0,102185.696801375,2.72860546415788,-1.303662804012124,1.23990369671343,-0.1761379539966583,-0.5006145834922791,0.1900370270013809,-0.01172006130218506,-0.0137820839881897,0.09561312198638916,2,0.5779598472854531,0.3508312994011195,0.5610244609022037,0.4776307882623801,-0.3133635520935059,-0.945752739906311,-0.08575963228940964,-27.99254608154297,-39.78122711181641,14.90936279296875,2
1596229853.523457,25,0,102185.726898375,2.70884773487701,-1.297554158502072,1.233293206762164,-0.3167179524898529,-0.3584927320480347,0.1212173029780388,0.03007692098617554,0.01070815324783325,0.01663297414779663,2,0.580365500083329,0.3442340868063488,0.5598925954870689,0.4808316228571725,-0.3188474178314209,-0.9435843825340271,-0.08935756236314774,-28.16159820556641,-39.83528900146484,15.21487426757812,2
1596229853.553766,26,0,102185.756995375,2.692841114552297,-1.296882732471163,1.22632627338556,-0.2068839073181152,-0.5650938153266907,0.2420210242271423,0.04968184232711792,0.01152133941650391,-0.02633357048034668,2,0.5835938370890155,0.3372601360938291,0.5581660250336805,0.4838641291280757,-0.3251083493232727,-0.9412545561790466,-0.09134766459465027,-28.29562377929688,-39.87178802490234,14.8968505859375,2
1596229853.585523,27,0,102185.787092375,2.676014342370903,-1.298397936401259,1.218376148498652,-0.2522580027580261,-0.5661634206771851,0.1216919347643852,-0.09767019748687744,0.04905349016189575,-0.001708865165710449,2,0.5875738022894479,0.329126653473882,0.5558529813545889,0.4872988068615268,-0.3324432373046875,-0.9385401010513306,-0.09286534786224365,-28.25387573242188,-39.71234130859375,15.32376098632812,2
1596229853.628448,28,0,102185.817189375,2.657563745557736,-1.292142185192342,1.214969454252256,-0.2163104712963104,-0.1440252810716629,0.01294910348951817,-0.1385634243488312,0.01147955656051636,0.008367478847503662,2,0.5891591855415658,0.3240067834445364,0.5541348149353419,0.4907603001087122,-0.334927886724472,-0.9373587369918823,-0.09582211822271347,-27.9810791015625,-39.81193542480469,15.22149658203125,2
1596229853.643895,29,0,102185.847287375,2.646157556702792,-1.280140164520776,1.213222160208391,-0.08221042156219482,0.1591731458902359,0.04081829637289047,0.0249524712562561,0.02929413318634033,-0.05461084842681885,2,0.5878257509731744,0.3229688390032332,0.5553559492307261,0.4916621077384746,-0.3353219628334045,-0.9367486238479614,-0.1003040298819542,-27.95626068115234,-39.85429382324219,15.16534423828125,2
1596229853.686911,30,0,102185.877384375,2.63918986386907,-1.26957534975645,1.211613400351765,-0.1029452383518219,0.1028216108679771,0.00217831926420331,-0.0463377833366394,0.009236752986907959,-0.03453660011291504,2,0.5861455409428047,0.3229387751818472,0.5571978096606726,0.4916038326431803,-0.3356821537017822,-0.9361843466758728,-0.1042879074811935,-27.97254943847656,-39.88176727294922,14.73110961914062,2
1596229853.704348,31,0,102185.907481375,2.633736849559374,-1.261090978059463,1.209422029266052,-0.04060735180974007,0.114186979830265,0.1374842077493668,0.02628135681152344,0.002670586109161377,-0.1052088141441345,2,0.5848334824036467,0.3226316132321331,0.5589616852736328,0.4913658393319749,-0.3367387056350708,-0.935411810874939,-0.1077572777867317,-28.01920318603516,-39.80129241943359,14.689453125,2
1596229853.752141,32,0,102185.93757875,2.642883122885259,-1.26673057979282,1.203464949832784,0.103264294564724,0.05812554806470871,0.3047004342079163,0.1597302854061127,-0.005736768245697021,-0.1019061803817749,2,0.585413334799196,0.3217603847089452,0.5612338400716134,0.4886491076751823,-0.3426516950130463,-0.9332890510559082,-0.1075229644775391,-28.3492431640625,-39.64839935302734,14.5592041015625,2
1596229853.764272,33,0,102185.96767575,2.664727558732915,-1.287661791985191,1.19291776141013,0.2189891040325165,-0.1267000138759613,0.5474070310592651,0.1744233667850494,-0.04338037967681885,-0.05825984477996826,2,0.5886731916232658,0.3192612920299075,0.5633455712718776,0.4839192331245773,-0.3542595207691193,-0.9294494390487671,-0.1030722036957741,-28.67742919921875,-39.50263977050781,14.61611938476562,2
