loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1595775181.803837,1,0,460845.164043625,-0.4774932861328125,-0.84051513671875,-0.1773529052734375,460845.138958875,-0.1344813853502274,0.1309731900691986,0.05155347287654877
1595775181.83238,2,0,460845.194145625,-0.4492340087890625,-0.90081787109375,-0.1588287353515625,460845.169060625,0.02666010707616806,0.02324220538139343,-0.06793218106031418
1595775181.86396,3,0,460845.224246625,-0.468994140625,-0.8442535400390625,-0.16900634765625,460845.199162625,-0.02052338421344757,0.1487194299697876,-0.02622414752840996
1595775181.892552,4,0,460845.254348625,-0.4259185791015625,-0.8654022216796875,-0.137847900390625,460845.229263625,0.03252705186605453,0.06581123918294907,-0.02666596509516239
1595775181.924201,5,0,460845.284449625,-0.4467620849609375,-0.8704833984375,-0.1228485107421875,460845.259365625,0.0402078740298748,-0.08521156758069992,-0.09415259957313538
1595775181.952782,6,0,460845.3145516251,-0.4960174560546875,-0.8892364501953125,-0.1370697021484375,460845.289466625,0.07962612062692642,-0.08891149610280991,-0.07359432429075241
1595775181.984658,7,0,460845.344652625,-0.4732208251953125,-0.87689208984375,-0.122406005859375,460845.319568625,0.05185733735561371,-0.09837743639945984,-0.06226923316717148
1595775182.013087,8,0,460845.374754625,-0.4674224853515625,-0.8634033203125,-0.13775634765625,460845.3496696251,0.05495592579245567,-0.03902329877018929,-0.05811896175146103
1595775182.044652,9,0,460845.404855625,-0.4565887451171875,-0.9226531982421875,-0.1595916748046875,460845.379771625,-5.326322138898831e-07,0.1303015500307083,0.07086724787950516
1595775182.073278,10,0,460845.4349576251,-0.491180419921875,-0.912384033203125,-0.1451416015625,460845.409872625,-0.01356108207255602,-0.04751132428646088,0.04833770543336868
1595775182.104941,11,0,460845.465059625,-0.45452880859375,-0.8509063720703125,-0.117919921875,460845.439974625,0.03254968672990799,0.1374361515045166,0.1088433936238289
1595775182.133303,12,0,460845.495160625,-0.5526275634765625,-0.8992156982421875,-0.1192626953125,460845.470076625,0.08958900719881058,-0.01326840091496706,0.3700608909130096
1595775182.163947,13,0,460845.525262625,-0.5482025146484375,-0.7803497314453125,-0.0454254150390625,460845.500177625,0.1726894825696945,-0.4277089834213257,-0.1397531032562256
1595775182.193274,14,0,460845.5553636251,-0.2183990478515625,-0.949951171875,-0.2953033447265625,460845.530279625,0.01217570621520281,0.6621531844139099,-1.058704257011414
1595775182.224252,15,0,460845.585465625,-0.2700347900390625,-1.085769653320312,-0.1571502685546875,460845.560380625,0.2372162789106369,0.06145190820097923,-0.2078453451395035
1595775182.254046,16,0,460845.615566625,-0.615753173828125,-0.7843780517578125,-0.168670654296875,460845.590482625,-0.04911667853593826,-0.0176977701485157,0.3537045419216156
1595775182.284306,17,0,460845.645668625,-0.6737060546875,-0.76837158203125,-0.1419525146484375,460845.620583625,0.1242375299334526,0.2464430630207062,-0.09435286372900009
1595775182.313598,18,0,460845.6757696251,-0.55780029296875,-0.81787109375,-0.09136962890625,460845.650685625,0.2717814445495605,0.5359955430030823,-0.2295439839363098
