loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1595965178.317415,1,0,566549.7119341251,-0.31866455078125,-0.9061279296875,-0.2342529296875,566549.691866125,-0.04464336857199669,0.39312544465065,-0.007208378054201603
1595965178.339003,2,0,566549.742036125,-0.3000335693359375,-0.929962158203125,-0.191253662109375,566549.7219681251,0.04953106865286827,0.04656963050365448,-0.03024578653275967
1595965178.369083,3,0,566549.772138125,-0.2990570068359375,-0.9309234619140625,-0.173797607421875,566549.7520701251,0.04792278632521629,0.01014744304120541,-0.1018576547503471
1595965178.399377,4,0,566549.802240125,-0.2894439697265625,-0.9459075927734375,-0.1742706298828125,566549.7821721251,0.009244098328053951,-0.1199359893798828,-0.05522171035408974
1595965178.42938,5,0,566549.832341125,-0.311492919921875,-0.9245147705078125,-0.17724609375,566549.8122741251,-0.0117733022198081,-0.0979718342423439,-0.05053827539086342
1595965178.461779,6,0,566549.862443125,-0.331024169921875,-0.9323272705078125,-0.18585205078125,566549.842375125,-0.004090349189937115,-0.1033325120806694,-0.02285604737699032
1595965178.489533,7,0,566549.892545125,-0.3366546630859375,-0.923583984375,-0.1921539306640625,566549.872477125,0.0002985403698403388,-0.2054990977048874,-0.00338647561147809
1595965178.525949,8,0,566549.9226471251,-0.38885498046875,-0.9416961669921875,-0.1672515869140625,566549.902579125,-0.01012054458260536,-0.3104992806911469,-0.0026181535795331
1595965178.549816,9,0,566549.9527491251,-0.294189453125,-0.8944854736328125,-0.1208648681640625,566549.932681125,-0.08921429514884949,-0.7811046242713928,0.2781874239444733
1595965178.582012,10,0,566549.9828501251,-0.6048431396484375,-0.5962982177734375,-0.1651763916015625,566549.962782125,0.2851987183094025,0.04643780738115311,-0.01228356454521418
1595965178.610001,11,0,566550.012952125,-0.2092742919921875,-1.123031616210938,-0.1413726806640625,566549.992884125,0.08645845949649811,-0.2409337908029556,-1.11469566822052
1595965178.646211,12,0,566550.043054125,-0.1739349365234375,-0.9894866943359375,-0.25079345703125,566550.0229861251,0.01122895255684853,0.2293418496847153,0.1813346445560455
1595965178.670291,13,0,566550.073156125,-0.302093505859375,-0.8313751220703125,-0.1872711181640625,566550.0530881251,0.1142623946070671,-0.2099646776914597,0.09813828766345978
