loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1595775155.059911,1,0,460818.4036145417,-0.35321044921875,-0.923095703125,-0.2513580322265625,460818.3785305417,-0.09692947566509247,-0.02746358141303062,-0.1117379814386368
1595775155.071781,2,0,460818.4337165417,-0.40826416015625,-0.9030609130859375,-0.2161407470703125,460818.4086315417,-0.03763206303119659,0.1064928844571114,0.1750330626964569
1595775155.101816,3,0,460818.4638185417,-0.3778076171875,-0.8965301513671875,-0.2165985107421875,460818.4387335417,-0.04659120365977287,-0.1111944317817688,0.001647697761654854
1595775155.131882,4,0,460818.4939195417,-0.39935302734375,-0.8971099853515625,-0.2119598388671875,460818.4688355417,-0.1056878119707108,0.04327983036637306,-0.1236574947834015
1595775155.161988,5,0,460818.5240215417,-0.345672607421875,-0.9325714111328125,-0.2211151123046875,460818.4989365417,-0.03097176365554333,0.1676071137189865,-0.02000406756997108
1595775155.192107,6,0,460818.5541225417,-0.29937744140625,-0.91534423828125,-0.20306396484375,460818.5290385417,0.01278530340641737,0.2294217348098755,-0.03543761745095253
1595775155.222329,7,0,460818.5842245417,-0.3559112548828125,-0.9156341552734375,-0.2103118896484375,460818.5591395417,-0.03113208711147308,0.04177993535995483,2.902845517382957e-05
1595775155.252352,8,0,460818.6143265417,-0.3667449951171875,-0.9078521728515625,-0.1769561767578125,460818.5892415417,0.00609357887879014,-0.1135814264416695,-0.09346044063568115
1595775155.284121,9,0,460818.6444275417,-0.3502655029296875,-0.8974761962890625,-0.1973724365234375,460818.6193435417,0.0526064857840538,-0.08025382459163666,-0.1401499211788177
1595775155.312692,10,0,460818.6745295417,-0.30682373046875,-0.9033660888671875,-0.2654571533203125,460818.6494445417,-0.006533000618219376,0.141275629401207,-0.1220936849713326
1595775155.344016,11,0,460818.7046305417,-0.2684478759765625,-0.94207763671875,-0.28173828125,460818.6795465417,-0.03719184175133705,0.3620354533195496,-0.05223577469587326
1595775155.37278,12,0,460818.7347325417,-0.3118438720703125,-0.9844512939453125,-0.2254486083984375,460818.7096475417,-0.01845464110374451,0.2415255457162857,0.1015809550881386
1595775155.403934,13,0,460818.7648345417,-0.4183502197265625,-0.96588134765625,-0.314727783203125,460818.7397495417,-0.1676941961050034,0.3918692469596863,0.4451345801353455
1595775155.433015,14,0,460818.7949355417,-0.489898681640625,-0.79498291015625,-0.350250244140625,460818.7698515417,0.02064589038491249,0.3217500746250153,0.7959626317024231
1595775155.464307,15,0,460818.8250375417,-0.3783111572265625,-0.93853759765625,-0.2190093994140625,460818.7999525417,0.2949442863464355,-0.06532760709524155,0.2322843670845032
